SMILES,HOMO,LUMO,Voc,Jsc,fill_factor,PCE,source_db,canonical_SMILES
C1cc2ccc3c4c[SiH2]cc4c4c5[SiH2]ccc5c5cscc5c4c3c2c1,-5.02314588131727,-3.55993466692878,0.42314588131727,197.47477990435,,5.42942913758464,CEP,C1=Cc2c(c3c4c(c5ccc6c(c5c3c3cscc23)=CCC=6)=C[SiH2]C=4)[SiH2]1
c1csc(c1)-c1cc2sc3c(ncc4ccccc34)c2c2c[nH]cc12,-5.05701977223209,-2.71828292999615,0.45701977223209,54.724947245995,,1.62507254798399,CEP,c1csc(-c2cc3sc4c5ccccc5cnc4c3c3c[nH]cc23)c1
c1cc2csc(-c3cnc4c(ccc5c6[se]ccc6ncc45)c3)c2[nH]1,-5.33888883864305,-3.01334870399507,0.73888883864305,56.011300007,,2.68910135645282,CEP,c1cc2csc(-c3cnc4c(ccc5c4cnc4cc[se]c45)c3)c2[nH]1
[SiH2]1c(ccc1-c1cccc2cscc12)-c1[SiH2]c(cc1)-c1cccc2ccccc12,-5.12021257123674,-3.5383152694776,0.52021257123674,169.88115712425,,5.74220200174211,CEP,C1=C(C2=CC=C(c3cccc4cscc34)[SiH2]2)[SiH2]C(c2cccc3ccccc23)=C1
[SiH2]1C=Cc2ccc3cc4cc(ccc4cc3c12)-c1ccco1,-5.28454442621434,-3.24338029376414,0.68454442621434,89.21134639885,,3.96802267589991,CEP,C1=Cc2ccc3cc4cc(-c5ccco5)ccc4cc3c2[SiH2]1
C1C=Cc2c1csc2-c1cc2oc3c4CC=Cc4oc3c2c2cscc12,-4.85581944663053,-2.83751912045349,0.25581944663053,92.49576333985,,1.53747410122313,CEP,C1=Cc2c(csc2-c2cc3oc4c5c(oc4c3c3cscc23)C=CC5)C1
c1cc2ccc3c4sc(cc4c4ccccc4c3c2s1)-c1cccc2c[nH]cc12,-5.10019415026764,-2.78568635915738,0.50019415026764,56.888816701405,,1.8489191542469,CEP,c1cc(-c2cc3c4ccccc4c4c(ccc5ccsc54)c3s2)c2c[nH]cc2c1
c1cc2[se]c3c(ccc4cc(-c5ccccn5)c5nsnc5c34)c2s1,-5.76093771185566,-3.44383768756696,1.16093771185566,56.888816701405,,4.29129363306024,CEP,c1ccc(-c2cc3ccc4c5sccc5[se]c4c3c3nsnc23)nc1
C1C=c2c3cc4C=C[SiH2]c4cc3c3c4nsnc4c(cc3c2=C1)-c1ncncn1,-5.59955429898606,-3.88189504290719,0.99955429898606,142.9448392645,,9.28383225516933,CEP,C1=Cc2cc3c4c(c5cc(-c6ncncn6)c6nsnc6c5c3cc2[SiH2]1)=CCC=4
C1C=CC=C1C1=Cc2ncc3cc4ccsc4cc3c2[SiH2]1,-5.23171945903443,-3.23939827451816,0.63171945903443,96.26263980255,,3.95124932561305,CEP,C1=CCC(C2=Cc3ncc4cc5ccsc5cc4c3[SiH2]2)=C1
[SiH2]1cccc1-c1ccc(cn1)-c1ccc(cn1)-c1ncncn1,-5.9292088815226,-3.57441831197621,1.3292088815226,53.012852941295,,4.57853801207072,CEP,C1=C[SiH2]C(c2ccc(-c3ccc(-c4ncncn4)cn3)cn2)=C1
c1c[nH]c(c1)-c1sc(-c2sc(-c3scc4ccoc34)c3nccnc23)c2ccoc12,-4.70147036924419,-3.61674080538071,0.101470369244191,289.17587663055,,1.90657421123292,CEP,c1c[nH]c(-c2sc(-c3sc(-c4scc5ccoc45)c4nccnc34)c3ccoc23)c1
[SiH2]1c(ccc1-c1sc(-c2cccc3cscc23)c2cc[nH]c12)-c1scc2ccsc12,-4.69213623376762,-3.33258869427912,0.0921362337676202,223.30551575215,,1.33684888757461,CEP,C1=C(c2sc(-c3cccc4cscc34)c3cc[nH]c23)[SiH2]C(c2scc3ccsc23)=C1
[SiH2]1C=Cc2c1c1ncc3cc(-c4scc5occc45)c4ccccc4c3c1c1cocc21,-5.35904381531639,-3.23559416869925,0.75904381531639,78.2350962302,,3.85852110338511,CEP,C1=Cc2c(c3ncc4cc(-c5scc6occc56)c5ccccc5c4c3c3cocc23)[SiH2]1
c1c[nH]c(c1)-c1cnc2c(cnc3cc4cccnc4cc23)c1,-5.69142587358889,-3.23531205835293,1.09142587358889,43.95911060242,,3.11742170522432,CEP,c1c[nH]c(-c2cnc3c(cnc4cc5cccnc5cc43)c2)c1
[SiH2]1C=c2ccc3ccc4c(ccc5cc(-c6ccc[se]6)c6cscc6c45)c3c2=C1,-5.26116270257288,-3.49353810166464,0.661162702572881,133.7705931445,,5.74673818721424,CEP,C1=c2ccc3ccc4c(ccc5cc(-c6ccc[se]6)c6cscc6c54)c3c2=C[SiH2]1
C1c(cc2[nH]ccc12)-c1cc2c(ccc3ccccc23)c2nsnc12,-4.96221952491832,-3.35993439662076,0.36221952491832,165.1051792767,,3.88584046553274,CEP,C1=C(c2cc3c4ccccc4ccc3c3nsnc23)Cc2cc[nH]c21
[SiH2]1C=c2cccc(-c3cc4sc5c(c6nsnc6c6ccccc56)c4[se]3)c2=C1,-5.40500348561018,-3.67542229866016,0.80500348561018,140.98387271995,,7.37427976416549,CEP,C1=c2cccc(-c3cc4sc5c6ccccc6c6nsnc6c5c4[se]3)c2=C[SiH2]1
C1cc2cccc(-c3[SiH2]c(cc3)-c3ccc(-c4[SiH2]ccc4)c4c[SiH2]cc34)c2c1,-4.93714678225198,-3.77802570830835,0.33714678225198,273.06425248895,,5.98186050493984,CEP,C1=C[SiH2]C(c2ccc(C3=CC=C(c4cccc5c4=CCC=5)[SiH2]3)c3c2=C[SiH2]C=3)=C1
C1C=c2ccc3cc4ccc5cc(-c6scc7C=C[SiH2]c67)c6cocc6c5c4cc3c2=C1,-5.30477122549576,-3.09744944107662,0.704771225495761,68.32663040385,,3.12889205657292,CEP,C1=Cc2csc(-c3cc4ccc5cc6ccc7c(c6cc5c4c4cocc34)=CCC=7)c2[SiH2]1
c1cc2c(scc2s1)-c1cc2[se]c3c(sc4ccc5c[nH]cc5c34)c2c2cscc12,-4.96486902129283,-3.04631380862673,0.36486902129283,107.65843282025,,2.5523337193983,CEP,c1cc2c(-c3cc4[se]c5c(sc6ccc7c[nH]cc7c65)c4c4cscc34)scc2s1
[SiH2]1C=c2c(cc3cc4[nH]c5ccsc5c4cc3c2=C1)-c1cncc2nsnc12,-5.32121876808712,-3.74231171032328,0.72121876808712,170.8338835021,,8.0055918782292,CEP,C1=c2c(-c3cncc4nsnc34)cc3cc4[nH]c5ccsc5c4cc3c2=C[SiH2]1
c1cc2c(scc2o1)-c1cnc(-c2sc(-c3cncs3)c3sccc23)c2nsnc12,-5.22718971179935,-4.12831873340488,0.0,0.0,,0.0,CEP,c1cc2c(-c3cnc(-c4sc(-c5cncs5)c5sccc45)c4nsnc34)scc2o1
C1C=c2cccc(-c3cc4c5c[nH]cc5c5c6cnccc6[se]c5c4cn3)c2=C1,-5.08201531460668,-3.13573200322638,0.482015314606681,103.28605441375,,3.23485588347586,CEP,C1=c2cccc(-c3cc4c5c[nH]cc5c5c6cnccc6[se]c5c4cn3)c2=CC1
[SiH2]1cccc1-c1ncc(-c2ccc(cn2)-c2cccc3c[nH]cc23)c2nsnc12,-5.20453401434525,-3.86516209687367,0.60453401434525,227.96545274165,,8.95451752626846,CEP,C1=C[SiH2]C(c2ncc(-c3ccc(-c4cccc5c[nH]cc45)cn3)c3nsnc23)=C1
C1C=Cc2c1csc2-c1cc2sc3ccncc3c2c2cscc12,-5.45347608609049,-3.10123635383326,0.85347608609049,53.41074688547,,2.96191383859161,CEP,C1=Cc2c(csc2-c2cc3sc4ccncc4c3c3cscc23)C1
C1C(=Cc2cc3c4cscc4c4ccc5cscc5c4c3cc12)c1scc2ccoc12,-5.01615173004181,-3.01206443474987,0.41615173004181,94.36598177435,,2.55164104724503,CEP,C1=C(c2scc3ccoc23)Cc2cc3c(cc21)c1cscc1c1ccc2cscc2c13
C1ccc2c1c(sc2-c1scc2ccoc12)-c1sc(c2Cccc12)-c1ccccn1,-4.96830084995614,-2.94613924388243,0.36830084995614,92.03067329105,,2.20235707176764,CEP,C1=Cc2c(-c3sc(-c4scc5ccoc45)c4c3CC=C4)sc(-c3ccccn3)c2C1
[SiH2]1cc-c2c1c1[se]c3-cccn-c3c1c1ccccc21,-5.72779373599171,-3.14721240284265,1.12779373599171,34.41288779656,,2.52175685090951,CEP,C1=Cc2c(c3[se]c4cccnc4c3c3ccccc23)[SiH2]1
c1cc2c(scc2s1)-c1cc2oc3c4ccccc4sc3c2c2cocc12,-5.15390448130629,-3.0545972445088,0.55390448130629,81.38089057605,,2.92893497281827,CEP,c1ccc2c(c1)sc1c2oc2cc(-c3scc4sccc34)c3cocc3c21
C1C=c2c(cc3[se]c4c5[nH]ccc5c5=CCC=c5c4c3c2=C1)-c1scc2sccc12,-4.67449638390177,-3.13820411353979,0.0744963839017705,180.89583718895,,0.875621018867061,CEP,C1=c2c(-c3scc4sccc34)cc3[se]c4c5[nH]ccc5c5c(c4c3c2=CC1)=CCC=5
[SiH2]1C=CC=C1c1cc2cnc3c4c5c[nH]cc5ccc4c4nsnc4c3c2c2cscc12,-5.18503571242086,-3.30983935046281,0.58503571242086,114.70000667645,,4.36011790585357,CEP,C1=C[SiH2]C(c2cc3cnc4c5c6c[nH]cc6ccc5c5nsnc5c4c3c3cscc23)=C1
[SiH2]1ccc2c1c(sc2-c1cccnc1)-c1ncc(s1)-c1cncs1,-5.76514802107959,-3.43141596915495,1.16514802107959,55.174814587685,,4.17709542828093,CEP,C1=Cc2c(-c3cccnc3)sc(-c3ncc(-c4cncs4)s3)c2[SiH2]1
[SiH2]1C=Cc2csc(c12)-c1cc2cc3cnc4ccc5cocc5c4c3cc2c2cocc12,-5.47728152342085,-3.24102398317752,0.87728152342085,65.2311662925,,3.71831808576469,CEP,C1=Cc2csc(-c3cc4cc5cnc6ccc7cocc7c6c5cc4c4cocc34)c2[SiH2]1
c1cc2c3c[nH]cc3c3c4cnc(cc4c4cscc4c3c2o1)-c1cncc2nsnc12,-5.17358077440861,-3.72819694072106,0.573580774408611,201.72749436905,,7.51816915730668,CEP,c1cc2c3c[nH]cc3c3c4cnc(-c5cncc6nsnc56)cc4c4cscc4c3c2o1
c1cc2c(sc(-c3ccccn3)c2[nH]1)-c1sc(-c2scc3occc23)c2occc12,-4.71629559564828,-3.18946808212497,0.11629559564828,183.12067385625,,1.38373542046475,CEP,c1ccc(-c2sc(-c3sc(-c4scc5occc45)c4occc34)c3cc[nH]c23)nc1
[SiH2]1C=Cc2[nH]c3c(cnc4cc(cnc34)-c3ncncn3)c12,-5.89024197198294,-3.26569869336099,1.29024197198294,31.227414871575,,2.61793953347896,CEP,C1=Cc2[nH]c3c(cnc4cc(-c5ncncn5)cnc43)c2[SiH2]1
[SiH2]1C=c2c(cc3sc4c5[se]ccc5c5cocc5c4c3c2=C1)-c1scc2[SiH2]C=Cc12,-5.18609508068353,-3.58431616408036,0.58609508068353,165.58312837885,,6.30574744374413,CEP,C1=Cc2c(csc2-c2cc3sc4c5[se]ccc5c5cocc5c4c3c3c2=C[SiH2]C=3)[SiH2]1
[SiH2]1C=Cc2ccc3c4ccc(cc4oc3c12)-c1cccc2c[nH]cc12,-5.10870886962009,-2.79346869741507,0.50870886962009,56.888816701405,,1.88039298834783,CEP,C1=Cc2ccc3c(oc4cc(-c5cccc6c[nH]cc56)ccc43)c2[SiH2]1
[SiH2]1C=c2c3cc([nH]c3c3c(c4c5cscc5ccc4c4=C[SiH2]C=c34)c2=C1)-c1nccs1,-5.01649948754414,-3.75862561722564,0.41649948754414,241.97403250215,,6.54840673141912,CEP,C1=c2c(c3c(c4c(c5ccc6cscc6c53)=C[SiH2]C=4)c3[nH]c(-c4nccs4)cc23)=C[SiH2]1
